backend,model,precision,recall,mrr,ndcg,build_time,embedding_time
openai,text-embedding-3-small,0.93,0.38936194653299905,1.0,0.9977914796615878,4.720348834991455,
sentence-transformers,all-MiniLM-L6-v2,0.47000000000000003,0.1940434419381788,0.8724999999999999,0.8815049966520055,4.134957790374756,
sentence-transformers,all-mpnet-base-v2,0.58,0.2359910192147034,0.8458333333333332,0.8644844611938314,3.8726348876953125,
