backend,model,precision,recall,mrr,ndcg,build_time,embedding_time
openai,text-embedding-3-small,0.755,1.0,1.0,0.9836974747184006,4.720348834991455,
sentence-transformers,all-MiniLM-L6-v2,0.2875,0.4020258980785297,0.8724999999999999,0.8093405590635687,4.134957790374756,
sentence-transformers,all-mpnet-base-v2,0.37,0.5787259816207184,0.8458333333333332,0.820531998154028,3.8726348876953125,
